,files,random_number
0,data/external/newly_scraped_images/blouse/amazon.in/913OjPlRq9L._AC_UL320_.jpg,2
1,data/external/newly_scraped_images/blouse/flipkart/free-0021-mk-womens-original-imagghppht7hvxsg.jpg,11
2,data/external/newly_scraped_images/blouse/flipkart/34-d-005639-black-34-rene-original-imagqheza5akrhyy.jpg,30
3,data/external/newly_scraped_images/blouse/flipkart/m-na-rbbl316-oomph-original-imagzcjnswgzvaac.jpeg,38
4,data/external/newly_scraped_images/blouse/flipkart/28-hc-29-red-28-himrise-original-imaga7scyum4jgqn.jpg,48
5,data/external/newly_scraped_images/blouse/flipkart/40-gcbb511-orange-rang-rangoli-original-imagggrcb6txbttw.jpg,49
6,data/external/newly_scraped_images/blouse/flipkart/34-foil-print-fancy-blouse-gold-berry-original-imaggnkgbawf4gxv.jpg,58
7,data/external/newly_scraped_images/blouse/flipkart/free-781-fancy-net-diamond-work-fancy-blouse-kvd-fashion-original-imaghgeyvz7e7w6d.jpeg,73
8,data/external/newly_scraped_images/blouse/amazon.in/71OWBzuvmiL._AC_UL320_.jpg,74
9,data/external/newly_scraped_images/blouse/amazon.in/71UZiS-BRlL._AC_UL320_.jpg,77
10,data/external/newly_scraped_images/blouse/amazon.in/61CfzaCeuhL._AC_UL320_.jpg,78
11,data/external/newly_scraped_images/blouse/flipkart/32-sc-bl-5208-elbow-net-grey-scube-designs-original-imagfj57xtwgktyr.jpg,81
12,data/external/newly_scraped_images/blouse/flipkart/free-bhdfgold010-samrat-export-original-imaggbyrwxxv66gx.jpeg,84
13,data/external/newly_scraped_images/blouse/flipkart/32-na-zigzagg-red-fabzilla-original-imagz97ghkx85ehr.jpg,94
14,data/external/newly_scraped_images/blouse/flipkart/36-na-zigzagg-purple-fabzilla-original-imagzbrceufvyhrv.jpg,96
15,data/external/newly_scraped_images/blouse/flipkart/36-hc-35-black-36-himrise-original-imag5mfrujvrhywn.jpeg,98
16,data/external/newly_scraped_images/blouse/flipkart/free-hakoba-black-mohini-fab-original-imaggf8yd63htnja.jpeg,119
17,data/external/newly_scraped_images/blouse/flipkart/free-fhbdfgreysy009-samrat-export-original-imaggw8bvkceztth.jpg,121
18,data/external/newly_scraped_images/blouse/flipkart/free-mirror-blouse-magicthreads-original-imagcdntbkh44cy6.jpeg,132
19,data/external/newly_scraped_images/blouse/flipkart/32-f-black-wizulo-trendz-original-imagr6xpnasqbcnu.jpeg,134
