,files,random_number
0,dupattas/amazon.in/7136CasC1fL._AC_UL320_.jpg,2
1,dupattas/karmaplace/N2ZKDBBB028_3-4Y_7f9d9fe4-36b5-46ce-a906-729c9beec6e5_512x769.jpg,8
2,dupattas/karmaplace/PHT0003-1_512x769.jpg,17
3,dupattas/karmaplace/AHKUDUSH-COMBO-472-FF-M_afd4fbeb-12bf-4aa6-ada9-96156ea84634_512x769.jpg,19
4,dupattas/utsavfashion/bnj266.jpg,46
5,dupattas/karmaplace/N2ZKDTLHC040_3-4Y_f77ce273-5cab-4f13-87fe-f312f63ac280_512x769.jpg,49
6,dupattas/utsavfashion/bandhej-art-silk-dupatta-in-maroon-v1-bnj986.jpg,55
7,dupattas/karmaplace/1402-104rp_512x769.jpg,57
8,dupattas/karmaplace/PHT0117-2_512x769.jpg,60
9,dupattas/karmaplace/1402-105blu_512x769.jpg,62
10,dupattas/utsavfashion/woven-chanderi-silk-dupatta-in-blue-v3-bnj720.jpg,64
11,dupattas/karmaplace/N2ZDK0637-XS_512x769.jpg,66
12,dupattas/karmaplace/1402-106blu_512x769.jpg,71
13,dupattas/amazon.in/71Zo-mpKJyL._AC_UL320_.jpg,73
14,dupattas/karmaplace/N2ZKDTLHC040_5-6Y_5a947c1d-8128-4e55-b637-162af67d51fc_512x769.jpg,74
15,dupattas/karmaplace/DTMWWB1I0599_512x769.jpg,80
16,dupattas/utsavfashion/bandhej-printed-art-silk-dupatta-in-multicolor-v1-bnj1140.jpg,82
17,dupattas/amazon.in/61jPDy2fwWL._AC_UL320_.jpg,84
18,dupattas/karmaplace/DSMDDC1G0529_512x769.jpg,85
19,dupattas/utsavfashion/bandhej-art-silk-dupatta-in-multicolor-v1-bnj464.jpg,88
20,dupattas/karmaplace/AHKUDUCD-Combo-249-M-1_512x769.jpg,95
21,dupattas/karmaplace/N2ZKDTKS045_5-6Y_4c993008-5c05-4b6a-b439-f3b89b17ed8d_512x769.jpg,107
22,dupattas/karmaplace/AHKUDU-Combo-259-M-3_512x769.jpg,111
23,dupattas/karmaplace/N2Zk-150-Green-M_cc40f1ae-b1d1-4717-a09b-b2f5ac170212_512x769.jpg,122
24,dupattas/karmaplace/N2ZSKD0115-3XL_b453fd19-4036-427e-9f60-1c486b390250_512x769.jpg,127
25,dupattas/karmaplace/GCSKS3J027_512x769.jpg,129
26,dupattas/karmaplace/DMMRRB2A0813-2_512x769.jpg,132
27,dupattas/karmaplace/N2ZHKS0197M_512x769.jpg,137
28,dupattas/karmaplace/N2Zdk0674-S_512x769.jpg,139
29,dupattas/karmaplace/N2ZHKS0500S_bc6c6c22-4912-43c9-bfd7-cb60141f203d_512x769.jpg,141
30,dupattas/karmaplace/HEKS-606_512x683.jpg,144
31,dupattas/karmaplace/N2ZK-129-Green-M_00c4d1d5-bfba-423c-aae9-beb71b032d6b_512x769.jpg,149
32,dupattas/utsavfashion/patola-printed-art-silk-dupatta-in-pink-v1-bnj1129.jpg,156
33,dupattas/utsavfashion/woven-art-silk-dupatta-in-dark-green-v1-bpe524.jpg,162
34,dupattas/karmaplace/PHT0117-1_4998e992-e21f-4a4c-8b22-060d01d24726_512x769.jpg,173
35,dupattas/karmaplace/1402-105dgrn_1_512x769.jpg,189
36,dupattas/karmaplace/N2ZDK0650-XS_512x769.jpg,197
37,dupattas/karmaplace/AHKUDUSH-COMBO-472-FF-M-1_53ee12ec-d7ba-4e2c-88bf-7f65f560463c_512x769.jpg,198
38,dupattas/karmaplace/DIUCCB2G1000-1_512x769.jpg,205
39,dupattas/karmaplace/N2ZKDBBT139_4-5Y_c2a1fff0-57be-4d2b-9111-95208ee01c01_512x769.jpg,206
40,dupattas/karmaplace/PHT0080-1_512x769.jpg,213
41,dupattas/karmaplace/ACS6189-1_512x769.jpg,218
42,dupattas/karmaplace/N2ZBER2136L_b3bb9c77-267c-46b2-8edf-7ecd7fb00803_512x769.jpg,221
43,dupattas/karmaplace/AHKUDUSH-combo-388-FF_512x769.jpg,222
44,dupattas/karmaplace/N2ZHKS0197M_8259fd08-c106-4e80-a117-8f376e7bc918_512x769.jpg,231
45,dupattas/karmaplace/AHKUDU-Combo-234-M-2_512x769.jpg,232
46,dupattas/karmaplace/AHTUDUSH-COMBO-588-ICH-M-1_512x769.jpg,234
47,dupattas/amazon.in/81nFo05oLCL._AC_UL320_.jpg,237
48,dupattas/karmaplace/DL0SM299_512x769.jpg,240
49,dupattas/karmaplace/N2ZKDTKS046_5-6Y_f0399a45-6846-4c51-8a83-058785d30eb4_512x769.jpg,246
50,"dupattas/amazon.in/61K6XQf-RqL._AC_SR160,134_QL70_.jpg",249
51,dupattas/karmaplace/N2ZHKS0348S_d80a202f-f0ac-4fa1-9251-04319e228ec3_512x769.jpg,251
52,dupattas/karmaplace/Snow-6201_512x769.jpg,255
53,dupattas/amazon.in/71l1Ti2qMhL._AC_UL320_.jpg,285
54,dupattas/karmaplace/ACS6190_512x769.jpg,289
55,dupattas/karmaplace/PRQ2540-1_512x769.jpg,300
56,dupattas/karmaplace/AHKUDU-Combo-275-M-2_512x769.jpg,305
57,dupattas/karmaplace/1597-312_52006174829_o_512x769.jpg,307
58,dupattas/karmaplace/AHKUPZDU-COMBO-628-M-1_512x769.jpg,312
59,dupattas/karmaplace/DTMWWB1I0601_512x769.jpg,317
60,dupattas/amazon.in/71Ky+QpebRL._AC_UL320_.jpg,318
