,files,random_number
0,gowns/flipkart/na-free-full-sleeve-semi-stitched-02-white-lookzilla-na-original-imagrzuhpupyfeqw.jpeg,0
1,gowns/flipkart/na-xxl-full-sleeve-stitched-firozi-pr-555-m-a-one-collection-na-original-imagp9wjzgweeujr.jpeg,6
2,gowns/flipkart/na-free-full-sleeve-semi-stitched-pvt-f1396-maroon-anara-na-original-imagpd7yfygangda.jpeg,8
3,gowns/flipkart/free-full-sleeve-designer-lehenga-set-with-flower-dupatta-radhe-original-imagfgruygpj4hbr.jpeg,21
4,gowns/flipkart/na-free-3-4-sleeve-semi-stitched-23-lookslink-na-original-imagmpxcwvba2hcm.jpeg,22
5,gowns/flipkart/na-xl-short-sleeve-stitched-pink-green-gown-6106-fashion2wear-na-original-imagfegsuyjqav65.jpeg,24
6,gowns/flipkart/na-m-half-sleeve-stitched-net-gown-dark-blue-m-jaldeep-fashion-original-imagqthuzbhny92b.jpeg,34
7,gowns/amazon.in/71L1N7lusnL._AC_UL320_.jpg,35
8,gowns/flipkart/na-m-sleeveless-stitched-an22gwn76pm-anunja-na-original-imaghhsuhz6x9x6c.jpeg,39
9,gowns/flipkart/na-l-short-sleeve-stitched-western-partywear-dress-for-women-and-original-imags4ywfhpu8zwn.jpeg,48
10,gowns/flipkart/na-3xl-full-sleeve-stitched-gown-diamoon-na-original-imagfffbk8dtcgyy.jpeg,52
11,gowns/flipkart/no-s-3-4-sleeve-stitched-sn01-deepcreek-no-original-imag8pmhvvhfjdgt.jpeg,58
12,gowns/flipkart/na-l-full-sleeve-stitched-st-103-vintage-colour-na-original-imagfkzd97p3x4uv.jpeg,71
13,gowns/amazon.in/41HuRAJqARL._AC_UL320_.jpg,77
14,gowns/flipkart/na-xl-3-4-sleeve-semi-stitched-fr-254-disha-gallery-live-na-original-imafzfsjz5jfghss.jpeg,86
15,gowns/flipkart/woman-l-3-4-sleeve-stitched-53-blue-ashish-print-woman-original-imagff6wxzwhgzf2.jpeg,91
16,gowns/utsavfashion/plain-rayon-gown-in-peach-and-maroon-v1-unj1119.jpg,99
17,gowns/flipkart/na-free-half-sleeve-semi-stitched-boly-gold-gown-yozzby-na-original-image3xnsfsgkt6z.jpeg,101
18,gowns/flipkart/no-free-full-sleeve-stitched-rosenew-mohnish-fashion-no-original-imagsuxfsxspb6hz.jpeg,107
19,gowns/flipkart/na-xl-sleeveless-stitched-jw1010-just-wow-na-original-imaghdk2hr5kgfje.jpeg,110
20,gowns/flipkart/xxl-rs-su-gp-green-kurti-rs-value-store-original-imagmfgcsmbrfusp.jpeg,113
