,files,random_number
0,leggings_and_salwars/flipkart_salwars/free-sbpat224-001-b9-store-original-imafu6axjdgyfa3p.jpeg,3
1,leggings_and_salwars/flipkart_salwars/yes-2-m-unstitched-2-10m-1166d1193-samah-original-imagg9caz5pzqt8e.jpeg,8
2,leggings_and_salwars/flipkart/s-ajwa-18-ajwa-original-imagfppj5tuqqktx.jpeg,16
3,leggings_and_salwars/flipkart_salwars/54-pat-black-anaro-original-imafuu8x4rqpakwk.jpeg,27
4,leggings_and_salwars/flipkart/3xl-pt-brown-alishah-original-imaf96e6anhf4axb.jpeg,33
5,leggings_and_salwars/flipkart_salwars/yes-2-35-m-unstitched-2-10m-tt-dm1-20-kashvi-original-imagc6y8h35ynett.jpeg,36
6,leggings_and_salwars/flipkart/xxl-bel-shim-af-gold-belonas-original-imagcxkazydz5hdq-bb.jpeg,46
7,leggings_and_salwars/flipkart_salwars/yes-2-2-m-unstitched-2-m-2-5-m-1015dm004ad-ayka-clothings-original-imaggha9tysuguhg.jpeg,47
8,leggings_and_salwars/flipkart/free-pi-blacklacenew-pi-world-original-imaex2sqhykukzxv.jpeg,55
9,"leggings_and_salwars/amazon.in_salwars/41HCDDcCZWL._AC_UF264,320_.jpg",68
10,leggings_and_salwars/flipkart_salwars/yes-unstitched-1039dj595-siril-original-imag4hg9ergsfgbg.jpeg,72
11,"leggings_and_salwars/amazon.in_salwars/61f7bHk+VkL._AC_UF264,320_.jpg",81
12,leggings_and_salwars/flipkart/3xl-na-prav-ankle-leggings-greyp-original-imagzbe8qjjrksc9.jpeg,86
13,leggings_and_salwars/flipkart_salwars/yes-unstitched-dc-banarasi-37-navyblue-diva-s-choice-original-imag3zehactgph2k.jpeg,90
14,leggings_and_salwars/flipkart_salwars/yes-2-m-unstitched-2-m-2-5-m-flower-red-rudrani-fashion-original-imageyu6gugc2s6m.jpeg,93
15,leggings_and_salwars/flipkart_salwars/xl-ezwp-rpink-green-eazy-trendz-original-imaexayzhtqqmgzw.jpeg,97
16,leggings_and_salwars/flipkart_salwars/spsf1pp-pistaa-free-original-imaek394gzpshay8.jpeg,101
17,leggings_and_salwars/flipkart/s-o1s21wlg010-one-zero-by-koovs-original-imagdry7kcmnvtcw.jpeg,102
18,leggings_and_salwars/flipkart/xxl-w-4pck-leg-black-grey-yellow-maroon-honeylips-original-imagqyyfd6ghm9fr.jpeg,107
19,leggings_and_salwars/flipkart/free-lyra-ic-180-133-fs-lyra-original-imaghynvzw57hpgm.jpeg,109
20,leggings_and_salwars/flipkart/xxl-le-soft-plainch-20-le-soft-original-imagbc6hdpdmmyv6.jpeg,112
21,leggings_and_salwars/flipkart/4xl-plus-legging-1-trend-level-original-imagrg6a5gkhpdxw.jpeg,122
22,leggings_and_salwars/amazon.in_salwars/511g1-cCHoL._AC_UL320_.jpg,123
