,files,random_number
0,mojaris_men/flipkart/11-plain-j7-maroon-royal-khwaab-maroon-original-imagpdfzvggaq4rc.jpeg,3
1,mojaris_men/amazon.in/51cJzrSMKaL._AC_UL320_.jpg,7
2,mojaris_men/flipkart/10-anmpvl-007-brown-10-anouk-brown-original-imagh3necqgsayqq.jpeg,10
3,mojaris_men/rajwadi/brocade-silk-groom-wear-mojari-40012-297x408.jpg,16
4,mojaris_men/flipkart/550yuv-8-yuvrato-baxi-red-original-imafgkzyh3ax7sbp.jpeg,33
5,mojaris_men/flipkart/ss2-6-hyooo-red-original-imaftmzjtzqyhrgy.jpeg,39
6,mojaris_men/flipkart/6-8513277-6-bata-tan-original-imagnkuyqgmcx5jg.jpeg,43
7,mojaris_men/flipkart/6-lgj01-6-nirali-white-original-imag2cs2ggxfzycd.jpeg,52
8,"mojaris_men/amazon.in/71BbTbODrJL._AC_UF264,320_.jpg",71
9,mojaris_men/flipkart/11-0011-11-c-style-mojari-black-original-imagq8d4dg9mbmk6.jpeg,78
10,mojaris_men/rajwadi/brocade-silk-zari-work-mojari-for-dulha-41145-297x408.jpg,80
11,"mojaris_men/amazon.in/6197X1cVLZS._AC_UF264,320_.jpg",81
12,mojaris_men/flipkart/alldo-8-fashion-victim-brown-original-imafgbcfjwfaqnja.jpeg,83
13,mojaris_men/flipkart/7-anmpns-ph2-tan-7-anouk-tan-original-imaghzuwqrjtq4cn.jpeg,84
14,mojaris_men/flipkart/10-4034mmblack-equila-black-original-imaggb5hhrhmqyhs.jpeg,95
15,mojaris_men/flipkart/8-62mm-black-42-ishu-collection-black-original-imaggavvfyvcb3gb.jpeg,99
16,mojaris_men/flipkart/9-19-6155-43-mochi-64-brown-multi-original-imaghzqcuyu2sxzr.jpeg,117
17,mojaris_men/amazon.in/410aq71ZFiL._AC_UL320_.jpg,121
18,mojaris_men/amazon.in/31UqujTwi9L._AC_UL320_.jpg,125
19,mojaris_men/flipkart/8-591-bxxy-white-original-imag2rfhy58yy8ec.jpeg,135
20,mojaris_men/flipkart/-original-imaggckkddszaqgh.jpeg,137
21,mojaris_men/amazon.in/61BVgVGdjvL._AC_UL320_.jpg,144
22,mojaris_men/flipkart/7-cm10487-prolific-black-original-imagg6du45cpyvs9.jpeg,146
23,mojaris_men/flipkart/10-ax-juti-reg-black-brown-axolotl-black-brown-original-imagpzjwsxggg6xh.jpeg,148
24,mojaris_men/flipkart/-original-imagg6hujdrwgphj.jpeg,159
25,mojaris_men/flipkart/550yuv-7-yuvrato-baxi-beige-original-imafghy5vthng4s9.jpeg,162
26,mojaris_men/flipkart/8-st2-015-arotech-white-original-imagppg4kh4wyugc.jpeg,167
27,mojaris_men/flipkart/11-14431150-house-of-pataudi-burgundy-original-imag98fpca3vz6eb.jpeg,169
28,mojaris_men/flipkart/8-w-7008-zixer-brown-original-imagshwjfvvq3a7v.jpeg,171
29,mojaris_men/rajwadi/fancy-gold-and-red-silk-mojari-40027-297x408.jpg,172
30,mojaris_men/flipkart/ethnic-jalsa-6-6-ryag-brown-original-imafggepnxhdxyw9.jpeg,173
31,mojaris_men/amazon.in/513t4gv1ZnL._AC_UL320_.jpg,177
32,"mojaris_men/amazon.in/713+iOLlsgL._AC_UF264,320_.jpg",180
33,mojaris_men/amazon.in/716aB70Va5L._AC_UL320_.jpg,188
34,"mojaris_men/amazon.in/71Egq9iUTEL._AC_UF264,320_.jpg",199
35,mojaris_men/flipkart/718-018-tan-10-tanny-shoes-tan-original-imafxzt2qzncehq7.jpeg,204
36,mojaris_men/amazon.in/912Jivae7EL._AC_UL320_.jpg,205
37,mojaris_men/amazon.in/51WXqA8syUL._AC_UL320_.jpg,214
38,mojaris_men/amazon.in/71+US3BMjYL._AC_UL320_.jpg,226
39,mojaris_men/flipkart/7-5080-server-brown-original-imagap92quhddyug.jpeg,237
40,mojaris_men/flipkart/6-fst-3627-40-fausto-tan-original-imagqcrhbhz8grth.jpeg,238
41,mojaris_men/flipkart/6-4080-beige-elixir-man-beige-original-imag5yy85kgu7nuu.jpeg,272
42,mojaris_men/flipkart/6-mr1234-coder-blue-original-imagbthwnkryx2ke.jpeg,277
43,mojaris_men/flipkart/5-yb587-6-5-yb-bazaar-black-original-imagpw2spmnt8hj9.jpeg,280
44,mojaris_men/amazon.in/71Nf0KHmFUL._AC_UL320_.jpg,302
45,mojaris_men/flipkart/6-nagra-038-white-arics-white-original-imagmjfzsvhesufn.jpeg,303
46,"mojaris_men/amazon.in/71NWCJDftfL._AC_UF264,320_.jpg",310
47,mojaris_men/amazon.in/81oRDktviLL._AC_UL320_.jpg,314
48,mojaris_men/flipkart/10-viv212tannagraksf-viv-tan-original-imag5fyzcct2jtck.jpeg,321
49,mojaris_men/flipkart/6-black-nagras-for-men-6-vestro-black-original-imagjwmbfhmfvcnz.jpeg,331
50,mojaris_men/flipkart/9-bck2057-white-9-bucik-white-original-imaghzy6xu3myxhf.jpeg,346
51,mojaris_men/flipkart/8-wc-s-ngd9-maroon-8-advick-maroon-original-imagbgj25sbz2nfx.jpeg,351
52,"mojaris_men/amazon.in/71MGlw9eNUL._AC_UF264,320_.jpg",357
53,mojaris_men/flipkart/10-4815blue-10-el-paso-blue-original-imagy4efkkrqa8zz.jpeg,358
54,mojaris_men/flipkart/7-vwj0022-dolma-shoes-khaki-7-salasar-khaki-original-imageqah3sphxgay.jpeg,368
