,files,random_number
0,mojaris_women/mojari/SS-1320Maroon_jpg_533x.jpg,10
1,mojaris_women/amazon.in/612Ar2Ct9-L._AC_UL320_.jpg,13
2,mojaris_women/mojari/SS-2035Maroon_jpg_533x.jpg,14
3,mojaris_women/flipkart/8-indian-handicraft-synthetic-women-girls-ethnic-jutti-mojjeri-original-imag6vxzrpjwg4q4.jpeg,26
4,mojaris_women/flipkart/5-dc2007-38-desicolour-sea-green-original-imageaapysfem6m2.jpeg,29
5,mojaris_women/flipkart/4-bw-005-4-freed-olive-green-original-imagqtgggsbg8fgb.jpeg,34
6,mojaris_women/mojari/SS-1196Black_533x.jpg,36
7,mojaris_women/mojari/BASL-041Mustard_28043138-d67c-4393-b8a5-b104f18bdf61_533x.jpg,47
8,mojaris_women/amazon.in/81sbweVL4SL._AC_UL320_.jpg,49
9,mojaris_women/flipkart/dd109-40-the-desi-dulhan-gold-original-imafxpzggyw4tdg3.jpeg,50
10,mojaris_women/flipkart/5-kimj130-kiana-white-original-imaggeffcfctbsyq.jpeg,55
11,mojaris_women/amazon.in/81hha6jc7hL._AC_UL320_.jpg,56
12,mojaris_women/flipkart/4-1005-radish-maisara-multicolor-5-original-imageg2afsa2fkyz.jpeg,57
13,mojaris_women/mojari/SS-5203Brown_533x.jpg,60
14,mojaris_women/flipkart/dd111-37-the-desi-dulhan-black-original-imafxzsjztt5hbyk.jpeg,74
15,mojaris_women/flipkart/6-l051-moj-1303-1370-blk-6-catbird-black-original-imagphjrxmnuedz9.jpeg,87
16,"mojaris_women/amazon.in/61N1j1Gt4-L._AC_UF264,320_.jpg",88
17,mojaris_women/flipkart/4-dd969-37-the-desi-dulhan-purpalmulti-original-imaghczhukewgudg.jpeg,91
18,mojaris_women/flipkart/4-jutt001-aarna-point-white-original-imagt5c2kvg3fyne.jpeg,94
19,mojaris_women/mojari/SS-1270Brown_533x.jpg,99
20,mojaris_women/flipkart/6-women-jutti-14-multicolor-shanaya-multicolor-original-imagtg3upunzwkta.jpeg,102
21,mojaris_women/mojari/SS-3294Multi_533x.jpg,104
22,mojaris_women/flipkart/6-red-shree-ol-red-original-imagczz7zebhuwzu-bb.jpeg,111
23,mojaris_women/flipkart/2-dd566-35-the-desi-dulhan-whitesilver-original-imagm8f2ruhypvvg.jpeg,116
24,mojaris_women/flipkart/5-wsnd149-sdshopping-green-original-imagfqbbf6d5rszh.jpeg,117
25,mojaris_women/mojari/SS-1323Black_b6dc96e5-abae-49aa-b517-4217ca01586b_533x.jpg,135
26,mojaris_women/mojari/SS-1310Purple_533x.jpg,137
27,mojaris_women/flipkart/5-women-jutti-13-indigo-shanaya-indigo-original-imagtg4y42kswqkq.jpeg,147
28,"mojaris_women/amazon.in/714x1m4UVBL._AC_UF264,320_.jpg",149
29,mojaris_women/mojari/SS-1425Gold_53a86272-5572-45cb-b445-7618aeded6e1_533x.jpg,150
30,mojaris_women/mojari/SS-2038Green_jpg_533x.jpg,158
31,mojaris_women/flipkart/8-icn-abk-w-02-brown-41-iconics-brown-original-imagfhbgczqecyjk.jpeg,159
32,mojaris_women/flipkart/-original-imaghxfgrzxf6dfa.jpeg,171
33,mojaris_women/mojari/SS-1400Blue_533x.jpg,193
34,mojaris_women/flipkart/4-sd6-4-sawadi-black-original-imagrckvc3yygyvz.jpeg,204
35,mojaris_women/flipkart/5-w80-moj-81-152-blk-37-catbird-black-original-imagkgg2bdyfrbwp.jpeg,213
36,mojaris_women/flipkart/8-hh416-41-stop-n-style-cream-original-imags9qsmhfzz9ha.jpeg,216
37,mojaris_women/mojari/SS-1207White_e1266b92-4ee5-4a2a-b113-1bd6a3d2cc4a_533x.jpg,218
38,mojaris_women/flipkart/6-stylish-and-trendy-ethnic-mojari-and-juti-for-women-original-imagd3yvzc24hjkg-bb.jpeg,224
39,mojaris_women/mojari/SS-074Katha_533x.jpg,228
40,mojaris_women/flipkart/3-dc2060-36-desicolour-silver-original-imageaaphy2mc93v.jpeg,231
41,mojaris_women/flipkart/6-dc4301a-hulya-black-original-imag6g8rzyk8sef7.jpeg,233
42,mojaris_women/flipkart/8-women-jutti-6-multicolor-shanaya-multicolor-original-imagtg4yks3jzrxk.jpeg,237
43,mojaris_women/flipkart/4-2-5-klaver-king-peach-original-imagam5zynarps7z.jpeg,239
44,mojaris_women/flipkart/7-l051-moj-1303-1370-pnk-7-catbird-pink-original-imagphjb7ntgfkhd.jpeg,247
