,files,random_number
0,nehru_jackets/flipkart/48-nehru-jacket-badoliyasons-original-imafhz2fgg4emuqx.jpeg,17
1,nehru_jackets/flipkart/s-no-jkt-201-cream-maleno-original-imaga4tahbvdkpgh.jpeg,18
2,nehru_jackets/flipkart/xxl-1-no-cmob00969-o6-colorplus-original-imaggy3gcazxekgv.jpeg,34
3,nehru_jackets/flipkart/s-cream-beige-modi-999-bizzeie-original-imafzwjz3e2ymjgp.jpeg,41
4,nehru_jackets/flipkart/xl-no-wc-jsl-148-silver-sg-leman-original-imag7k2yfhtk35t2.jpeg,61
5,nehru_jackets/flipkart/42-tj1144-004-tabard-original-imafybt6zuebp56h.jpeg,69
6,nehru_jackets/flipkart/42-kaifoo-nehrujacket-kaifoo-original-imafv9x7afqy2gze.jpeg,70
7,nehru_jackets/flipkart/l-no-13238984-anouk-original-imag7ynf3uj9ap8r.jpeg,79
8,nehru_jackets/flipkart/38-kaifoo-nehrujacket-kaifoo-original-imafv9x7y5yj8fhg.jpeg,90
9,nehru_jackets/flipkart/42-hangup-men-original-imaff9zxaqu4gytf.jpeg,96
10,nehru_jackets/flipkart/3xl-jpnj7409-john-pride-original-imaez9tz2tnh2gzx.jpeg,99
11,nehru_jackets/flipkart/xl-ki-nj-emb-803-navy-kraft-india-original-imafy9zbft29a32b.jpeg,102
12,nehru_jackets/flipkart/40-23aprintednehru-hangup-original-imaf4h7p8q7aqgpz.jpeg,105
13,nehru_jackets/utsavfashion/embroidered-cotton-nehru-jacket-in-yellow-v1-mnk343.jpg,109
14,nehru_jackets/flipkart/m-no-jkt-202-cream-maleno-original-imagbtghahgndsxk.jpeg,110
15,nehru_jackets/flipkart/xl-river-jacket-550-river-hill-original-imaf9cgfn2ubcfgw.jpeg,113
16,nehru_jackets/flipkart/m-ethnic-jacket-2435-vandnam-fabrics-original-imaf9nymv6yb3sxv.jpeg,118
17,nehru_jackets/flipkart/40-nj-plain-benstoke-original-imafzjxebhgzbqjp.jpeg,120
18,nehru_jackets/flipkart/36-lpnjmslfc95672-louis-philippe-original-imafnhpfpszxdym9.jpeg,124
19,nehru_jackets/utsavfashion/woven-banarasi-silk-nehru-jacket-in-red-v1-mte1310.jpg,149
20,nehru_jackets/flipkart/44-no-vastraavs4503-vastraa-fusion-original-imagbuzgpthxh4qd.jpeg,153
21,nehru_jackets/flipkart/36-nehru-jacket-badoliyasons-original-imafht4frzzegazt.jpeg,159
22,nehru_jackets/flipkart/m-youfit-waistcoatmaroon-you-fit-original-imaf8w7dkc96khmw.jpeg,162
23,nehru_jackets/flipkart/m-1-no-smvs00075-b4-next-look-original-imag7953rcgsvgd6.jpeg,179
24,nehru_jackets/flipkart/s-combojackets9-vandnam-fabrics-original-imag5rrzqhhmvggf.jpeg,204
25,nehru_jackets/utsavfashion/solid-color-velvet-nehru-jacket-in-maroon-v1-mtx3042.jpg,206
26,nehru_jackets/flipkart/40-no-tsnehrujacket-printed-ts-lifestyle-original-imagmfzbgdudzj5a.jpeg,207
27,nehru_jackets/flipkart/xl-no-jkt-202-morepitch-maleno-original-imagbtghuzdwbdpe.jpeg,208
28,nehru_jackets/flipkart/s-no-jowc-4069sky-jompers-original-imaghhnyjhrafkfh.jpeg,210
29,nehru_jackets/karmaplace/NJR-BF496-GYCB-2_512x769.jpg,212
30,nehru_jackets/flipkart/34-mwsilk-20-manq-original-imafrtnpppxxduhg.jpeg,218
31,nehru_jackets/flipkart/m-up-nj-198-d-orange-sg-leman-original-imafkwj4j5xbganh.jpeg,221
32,nehru_jackets/utsavfashion/embroidered-cotton-satin-nehru-jacket-in-beige-v1-mtx2985.jpg,237
33,nehru_jackets/flipkart/42-vp007092-jihuzur-original-imaf9h69zabhkyuj.jpeg,246
34,nehru_jackets/karmaplace/NJ-AS1019-GAN-YWB-2_512x776.jpg,248
35,nehru_jackets/flipkart/xl-no-vastraavs4804-vastraa-fusion-original-imaghysqyhw4pgkh.jpeg,259
36,nehru_jackets/utsavfashion/digital-printed-cotton-nehru-jacket-in-pink-v1-muy947.jpg,260
37,nehru_jackets/karmaplace/1_57a06b55-e80e-416d-811c-d8a2ee0678b7_512x683.jpg,267
38,nehru_jackets/flipkart/nj-721-maroon-platinum-studio-42-original-imaduenrhjrmz6jh.jpeg,278
39,nehru_jackets/flipkart/l-no-nj235-golden-sg-leman-original-imagf7yhfg9mhn6h.jpeg,280
40,nehru_jackets/utsavfashion/embroidered-velvet-nehru-jacket-in-wine-v1-mtx2943.jpg,281
41,nehru_jackets/flipkart/40-sleeveless-solid-men-jacket-golden-attire-original-imafztdakmq2zfqw.jpeg,294
42,nehru_jackets/flipkart/36-nj-plain-benstoke-original-imafzjxe37qqz2yw.jpeg,301
43,nehru_jackets/flipkart/44-no-otgl-5757-1008-h-nhru-turtle-original-imagh83fjyyhtxzf.jpeg,304
44,nehru_jackets/flipkart/40-hangup-men-original-imaff5vca5zgfgub.jpeg,308
45,nehru_jackets/flipkart/xl-no-06mj39-red-armaan-ethnic-original-imagm5pqmxrqgxt8.jpeg,311
46,nehru_jackets/utsavfashion/quilted-scuba-nehru-jacket-in-navy-blue-v1-mtx2979.jpg,335
47,nehru_jackets/flipkart/-original-imaggn9cgpdh76r3.jpeg,352
48,nehru_jackets/karmaplace/1_7a4788f4-64a1-490b-9824-2735109be29d_512x683.jpg,360
49,nehru_jackets/utsavfashion/woven-art-silk-nehru-jacket-in-green-v1-mte1455.jpg,367
50,nehru_jackets/flipkart/rylblu-jkt-calibro-m-original-imaecu5uhg96wbwq.jpeg,371
51,nehru_jackets/utsavfashion/embroidered-art-silk-nehru-jacket-in-maroon-v1-mtx2953.jpg,372
52,nehru_jackets/flipkart/blk-jkt-calibro-m-original-imaecu5upkuwepxf.jpeg,379
53,nehru_jackets/flipkart/l-vp007034-jihuzur-original-imag3z8pzgcag8bn.jpeg,390
54,nehru_jackets/flipkart/3xl-nehru-jacket-visita-original-imafzugz9qdghjgc.jpeg,391
55,nehru_jackets/flipkart/42-jacq-nehrujacket-kaifoo-original-imag59udbgaw2ggg.jpeg,392
