,files,random_number
0,palazzos/amazon.in/51A3+RBuc9L._AC_UL320_.jpg,7
1,"palazzos/amazon.in/61V9e2YxiWL._AC_SR180,120_QL70_.jpg",16
2,palazzos/amazon.in/61BQmTBPlSS._AC_UL320_.jpg,18
3,palazzos/flipkart/32-el-2120-bottom-epilog-original-imagywfvems54fu6-bb.jpeg,20
4,palazzos/amazon.in/71H2HQNGOXS._AC_UL320_.jpg,27
5,palazzos/flipkart/xxl-as-black-palazo-style-premium-original-imaggvwthkyqmrbm.jpeg,39
6,palazzos/amazon.in/71tmZyum2KL._AC_UL320_.jpg,44
7,"palazzos/amazon.in/51aYm18CeDL._AC_UF264,320_.jpg",52
8,palazzos/flipkart/l-designer-minar-rayon-plazzo-white-arixty-original-imafyy9vagzgjnzt.jpeg,55
9,palazzos/flipkart/3xl-palazzo-01-pinkcity-style-original-imafwyf6rsvpj9yw.jpeg,66
10,palazzos/flipkart/xl-shopsypant003-formal-trouser-aas-textlie-original-imagbrkeu7gzpjkg.jpeg,71
11,palazzos/flipkart/30-ttp0000445-tokyo-talkies-original-imafw2k2fcjgasrm-bb.jpeg,85
12,palazzos/amazon.in/51KxlXVYQkL._AC_UL320_.jpg,86
13,palazzos/flipkart/free-palazzos-033-xenilla-original-imafvv56h25qmzza.jpeg,93
14,palazzos/flipkart/5-6-years-combpla8-manaitri-original-imagghy5chyktbnf.jpeg,96
15,palazzos/amazon.in/51pw56H1qxL._AC_UL320_.jpg,99
16,palazzos/flipkart/free-plazo-1012-bw-rangun-original-imafyguzese3xanr.jpeg,100
17,palazzos/amazon.in/61Gt7jBVXFL._AC_UL320_.jpg,103
18,palazzos/flipkart/free-srisaras-palazzo-7-srisaras-original-imaf6zf6ggfkkhyj.jpeg,112
19,palazzos/utsavfashion/embellished-cotton-silk-palazzo-in-black-v1-bjg158.jpg,123
20,palazzos/amazon.in/51dRjlDt02L._AC_UL320_.jpg,130
21,palazzos/flipkart/free-emz01963-emeros-original-imagnfk8ksyxpyzt.jpeg,140
22,"palazzos/amazon.in/51-Guh+6lqL._AC_UF264,320_.jpg",148
23,palazzos/utsavfashion/embroidered-art-silk-kurta-set-in-maroon-v1-tja2587.jpg,150
24,palazzos/amazon.in/41u7XE5bj7L._AC_UL320_.jpg,153
25,"palazzos/amazon.in/41ZJ2qSWtGL._AC_UF264,320_.jpg",170
26,"palazzos/amazon.in/616XJfdXV+L._AC_UF264,320_.jpg",178
27,palazzos/flipkart/xxl-plazzo-212-213-maa-fab-original-imagzwkfkytsdzhy.jpeg,192
28,palazzos/flipkart/free-emz01961-emeros-original-imagnfk8yrb4pym8.jpeg,208
29,palazzos/flipkart/s-ssp-btm-12-bk-s-bottomskart-com-original-imaggtcaq3gzcc8e.jpeg,218
30,"palazzos/amazon.in/71pd0nu5IoL._AC_UF264,320_.jpg",229
31,palazzos/flipkart/30-gd0059-gladly-original-imafxr5mdfbzzxwb-bb.jpeg,237
32,palazzos/flipkart/34-plain-e-fashion-bazaar-original-imagt5yw5jbehtwa.jpeg,252
33,palazzos/amazon.in/61tmJvTROhL._AC_UL320_.jpg,259
34,palazzos/flipkart/m-plazzo-224-225-maa-fab-original-imag9xw9zjgtyeye.jpeg,261
35,palazzos/amazon.in/51pob+nGf5L._AC_UL320_.jpg,262
36,palazzos/amazon.in/91vOu6OPagL._AC_UL320_.jpg,264
37,palazzos/flipkart/free-wh108-urban-fashion-original-imafubd7grtpxer3.jpeg,281
38,palazzos/flipkart/30-heppiness-gladly-original-imagma8xuehawhpt.jpeg,283
39,"palazzos/amazon.in/31Bm9XK5gPL._AC_UF264,320_.jpg",285
40,"palazzos/amazon.in/51dRjlDt02L._AC_UF264,320_.jpg",292
41,palazzos/amazon.in/61C7YckimML._AC_UL320_.jpg,293
42,palazzos/flipkart/free-printed-palazzo-areeba-collection-original-imagfqzcctgjvdec.jpeg,299
43,palazzos/amazon.in/61EElUjg3wL._AC_UL320_.jpg,315
44,palazzos/flipkart/32-gladly-relaxed-women-multicolor-trousers-glowic-original-imag4jfektazbdhh.jpeg,328
45,palazzos/flipkart/6xl-flower-print-swaggish-original-imagrwrtm8xbqgxz.jpeg,331
46,palazzos/flipkart/5-6-years-nplazzo-0102-5-6y-100luck-original-imagz8qkstkt5ggr.jpeg,332
47,palazzos/flipkart/38-el-1070-epilog-original-imafy4daheqfbr6z.jpeg,342
48,palazzos/flipkart/34-kttwomenspant384-kotty-original-imagpayhcg7rkgh4.jpeg,365
49,palazzos/flipkart/free-jft-chinals-enterprise-original-imag73nspkzxgq8x.jpeg,367
50,palazzos/amazon.in/51j3-sa2V1L._AC_UL320_.jpg,373
51,palazzos/flipkart/26-kttwomenspant174-kotty-original-imaggyhncztfsbst.jpeg,377
52,palazzos/flipkart/xl-shpan50093-shae-by-sassafras-original-imag8z9bghyghufh.jpeg,378
53,"palazzos/amazon.in/71FX9s-K75L._AC_UF264,320_.jpg",400
54,palazzos/flipkart/34-swt004-sreeya-original-imafpz2nnrhzuevy.jpeg,404
55,palazzos/amazon.in/513COArwYZL._AC_UL320_.jpg,428
56,palazzos/amazon.in/81u8Qe2gX7L._AC_UL320_.jpg,429
57,palazzos/amazon.in/51WsaNTJ14L._AC_UL320_.jpg,433
58,palazzos/flipkart/m-klyellow-kanchuk-original-imag2g97zfjamzcg.jpeg,443
59,palazzos/utsavfashion/ruffled-rayon-sharara-in-beige-v1-bnj600.jpg,444
60,palazzos/flipkart/free-gmsi-sareena-palazzo-5-18-myra-syra-original-imafghqfgxrsjkac-bb.jpeg,450
61,palazzos/flipkart/3xl-flower-print-palazzo-01-swaggish-original-imagahueqtckmwng.jpeg,453
62,palazzos/flipkart/3xl-vnty-venitywave-original-imagtqfm8hhmshz3.jpeg,458
63,palazzos/amazon.in/41Q+qgPdFbL._AC_UL320_.jpg,462
64,palazzos/flipkart/3xl-kkgreenmx-kanchuk-original-imag4pv2xnub5fdy-bb.jpeg,483
65,palazzos/flipkart/m-plazzo-211-214-maa-fab-original-imagzzxxtcspyvhb.jpeg,485
66,palazzos/flipkart/s-3287t-tandul-original-imagzuzvqww8yw5n.jpeg,488
67,palazzos/utsavfashion/foil-printed-art-silk-straight-kurta-palazzo-set-in-red-v1-twj3277.jpg,501
68,palazzos/flipkart/free-rhc-skin-pinovo-original-imafacgwnkmsqa3q-bb.jpeg,504
69,palazzos/flipkart/40-knnplzzz-60-kannan-original-imafvncthmegzwws.jpeg,509
70,palazzos/flipkart/l-3388-farden-original-imagftzzayn5hhhm.jpeg,510
71,palazzos/flipkart/36-gladly33-34b-gladly-original-imafwawumxgxzxmf-bb.jpeg,515
72,palazzos/flipkart/free-plazzo-bxa-original-imafydf9bnhsgafu-bb.jpeg,517
73,palazzos/amazon.in/61I-NUbu1qL._AC_UL320_.jpg,519
74,palazzos/flipkart/32-e-meh-fashion-bazaar-original-imagk92jqkd5ghts.jpeg,520
75,palazzos/utsavfashion/printed-cotton-tunic-with-palazzo-in-black-v1-tag333.jpg,525
76,"palazzos/amazon.in/51O2jP+7RUL._AC_SR180,120_QL70_.jpg",530
77,palazzos/flipkart/m-fambee-rayon-full-chicken-palazzo-01-fambee-original-imaghpghbqkfhdqe.jpeg,533
78,"palazzos/amazon.in/31lVReWc0oL._AC_UF264,320_.jpg",536
79,palazzos/amazon.in/719p8drNj7L._AC_UL320_.jpg,540
80,palazzos/flipkart/l-shopsypant003-formal-trouser-aas-textlie-original-imagbrkeyhtrgaha.jpeg,555
81,palazzos/flipkart/free-emz01960-emeros-original-imagnfk7xpxv3eje.jpeg,559
82,palazzos/flipkart/free-de-maroon-palazzo-daksh-enterprise-original-imafzgnw6rhqzmbp-bb.jpeg,571
83,palazzos/flipkart/xxl-full-chikan-tnq-original-imafjedrptk42kwq.jpeg,580
84,palazzos/flipkart/xl-202001-rangkriti-original-imafuyqehzpprhxc-bb.jpeg,593
85,palazzos/flipkart/4xl-rfp90p-raadhi-fab-original-imafzev6fysbu9hu.jpeg,596
86,palazzos/utsavfashion/printed-cotton-flared-palazzo-in-black-v1-brj768.jpg,600
87,palazzos/flipkart/32-emeros-214-emeros-original-imaewtrxubcmg5mf.jpeg,605
88,palazzos/amazon.in/71WwovELBOL._AC_UL320_.jpg,607
89,palazzos/flipkart/free-sareena-plazzo-combo-a17-myra-syra-original-imafgce5wmyshfpg.jpeg,626
90,palazzos/amazon.in/61ckPOmoJNL._AC_UL320_.jpg,638
91,palazzos/flipkart/3xl-shopsypant003-formal-trouser-aas-textlie-original-imagbrkea2jvamyq.jpeg,639
92,palazzos/flipkart/free-plazo-black-kalaprayag-original-imafgpgrhqypmwp3.jpeg,642
93,palazzos/flipkart/38-t-01-k-k-fashion-original-imafjc3hd9z6sqns.jpeg,644
94,palazzos/amazon.in/41ZJ2qSWtGL._AC_UL320_.jpg,677
95,palazzos/amazon.in/41ol9MpnhbL._AC_UL320_.jpg,679
96,palazzos/flipkart/xxl-plain-plazoo-01-colors-acd-fashion-original-imag4nytsnqahw5c.jpeg,681
97,palazzos/amazon.in/71Zn9DL4zcL._AC_UL320_.jpg,688
98,palazzos/flipkart/xxl-ss001-sarvsamarth-creation-original-imafw385hzy9bk9m.jpeg,690
99,palazzos/amazon.in/518c3oLvYSL._AC_UL320_.jpg,698
100,palazzos/amazon.in/61IzrpxjBfL._AC_UL320_.jpg,700
101,palazzos/flipkart/l-palazzo-black-l-cotrel-original-imag8paghjge3qbs.jpeg,703
102,palazzos/utsavfashion/thu656.jpg,704
103,palazzos/flipkart/free-plazo-1027-rangun-original-imafggw3bxkzg9gx.jpeg,710
104,palazzos/flipkart/28-trouser-101-sakhwala-original-imagrwkph6djzzrr.jpeg,712
105,palazzos/utsavfashion/gota-work-cotton-silk-sharara-in-teal-blue-v1-bjg208.jpg,717
106,palazzos/amazon.in/71rt2buHF5L._AC_UL320_.jpg,718
107,palazzos/amazon.in/51v6wRA5txL._AC_UL320_.jpg,719
108,palazzos/amazon.in/71Ujl9il6aL._AC_UL320_.jpg,724
109,palazzos/amazon.in/610Pqxe1QkL._AC_UL320_.jpg,738
110,palazzos/flipkart/free-sku-005-cango-original-imag3ycpwav5jgrk.jpeg,749
111,palazzos/flipkart/36-ls-halfchikenplazo-la25-original-imag5k4htksbdwkx-bb.jpeg,753
112,"palazzos/amazon.in/51pwofb86lL._AC_UF264,320_.jpg",766
113,palazzos/amazon.in/61xuZjEEFGL._AC_UL320_.jpg,767
114,palazzos/flipkart/5xl-comfort-plazo-qeheem-original-imagmvcxhmztneng.jpeg,770
115,palazzos/flipkart/free-wh100-urban-fashion-original-imafu87tpryg43eq.jpeg,775
116,palazzos/utsavfashion/printed-cotton-kurta-with-palazzo-in-dark-blue-v1-tlu22.jpg,789
117,palazzos/flipkart/xl-tfv08-the-fab-villa-original-imafsfc2apuzpzsk.jpeg,792
118,palazzos/flipkart/free-ppl7babypobenblmgb-pixie-original-imafghgjmgaqzbyv.jpeg,794
119,palazzos/utsavfashion/block-printed-georgette-palazzo-in-navy-blue-v1-bsy195.jpg,796
120,palazzos/utsavfashion/bandhej-printed-georgette-palazzo-in-green-v1-bnj1261.jpg,806
121,palazzos/flipkart/s-kfv-var118195-varanga-original-imaf5gft7gghbddm.jpeg,809
122,palazzos/utsavfashion/solid-color-rayon-palazzo-in-navy-blue-v1-bdz420.jpg,810
123,palazzos/utsavfashion/solid-color-lycra-shimmer-petticoat-in-magenta-v1-bnj1122.jpg,816
124,palazzos/amazon.in/613RaUm7rTL._AC_UL320_.jpg,819
125,palazzos/flipkart/l-tfv08-the-fab-villa-original-imafq9whjd4cgb9e.jpeg,826
126,palazzos/amazon.in/71I9ANvtFCL._AC_UL320_.jpg,827
127,palazzos/flipkart/free-a1002-farden-original-imafz7j2vhdqmuz7-bb.jpeg,828
128,palazzos/flipkart/32-straight-navy-blue-maa-fab-original-imagz5tvz6p3b26y.jpeg,833
129,palazzos/amazon.in/415l2ki6nYL._AC_UL320_.jpg,858
130,palazzos/flipkart/free-lyra-palazzo-amgd-lyra-original-imagm6vyr7h4ffrg.jpeg,863
131,palazzos/flipkart/free-women-s-girls-chicken-art-work-embroidred-cotton-palazzo-original-imafxffgk84ke68w.jpeg,878
132,palazzos/utsavfashion/printed-rayon-top-with-palazzo-in-teal-green-v1-twj2849.jpg,882
133,palazzos/flipkart/32-kttwomenspant173-kotty-original-imagzrc9t2g578yd.jpeg,886
134,palazzos/flipkart/free-pd-10-palazzo-designs-original-imagcfnnacnhs6s7.jpeg,902
135,palazzos/flipkart/m-jp01-printed-palazzo-sv-suveena-original-imagtctmp9qb2rhj.jpeg,915
136,palazzos/amazon.in/51HWL63YHdL._AC_UL320_.jpg,917
137,palazzos/flipkart/free-gmsi-sareena-palazzo-5-10-myra-syra-original-imafghq9yajdkavh-bb.jpeg,925
138,palazzos/flipkart/6xl-tfv-0001-the-fab-villa-original-imag4czaqnzj2hzc.jpeg,927
139,palazzos/flipkart/32-combo-palazzos-for-womens-glowic-original-imag4nqjz8tqyzmt.jpeg,932
140,"palazzos/amazon.in/51j3-sa2V1L._AC_UF264,320_.jpg",941
141,palazzos/flipkart/free-emz01958-emeros-original-imagnfk6mmjjnhgg.jpeg,942
142,palazzos/flipkart/28-zaya-5002rb-ro-zayanqa-original-imag22gqjafhcrgd-bb.jpeg,945
143,palazzos/flipkart/5xl-kkrayonli-kanchuk-original-imageha2e7bxt27e-bb.jpeg,950
144,palazzos/amazon.in/61Ex0T5tm6L._AC_UL320_.jpg,968
145,palazzos/flipkart/free-printed-plazzo-talank-original-imagf8s3yrgfhhbu.jpeg,969
146,palazzos/utsavfashion/plain-chanderi-silk-sharara-in-sky-blue-v1-bnj452_3.jpg,988
147,palazzos/flipkart/14-15-years-jksftr2-fnocks-original-imagnwy6ggshg2gz.jpeg,989
148,palazzos/flipkart/s-9713onnnatural-juniper-original-imafm2ypf7n88ubx-bb.jpeg,1007
149,palazzos/flipkart/xl-kd01-style-prezone-original-imagaenwyqdzzyqu-bb.jpeg,1021
150,palazzos/amazon.in/71jUah0VSHL._AC_UL320_.jpg,1041
151,palazzos/utsavfashion/solid-color-crepe-skirt-style-palazzo-in-grey-v1-bnj1018.jpg,1045
152,palazzos/flipkart/32-el-2120-bottom-epilog-original-imagywfvsbgrcnqk-bb.jpeg,1056
153,palazzos/flipkart/l-8003aeiblack-juniper-original-imafkhaghszxgzp3-bb.jpeg,1060
154,palazzos/amazon.in/51lrvPD-BDL._AC_UL320_.jpg,1061
155,palazzos/amazon.in/61jY0tUnOWL._AC_UL320_.jpg,1067
156,"palazzos/amazon.in/41JgRglcmnS._AC_UF264,320_.jpg",1069
157,palazzos/utsavfashion/solid-color-cotton-palazzo-in-beige-v1-bjg72.jpg,1073
