,files,random_number
0,petticoats/flipkart/medium-firozi-jamuni-navy-blue-red-orange-gugaliya-original-imafynp9aqhsjcm3.jpeg,38
1,petticoats/flipkart/free-1-104-namra-tex-original-imagcwmue8ncgf2d.jpeg,42
2,petticoats/utsavfashion/plain-combo-of-cotton-petticoats-in-green-and-blue-v1-uux523_1.jpg,43
3,petticoats/flipkart/free-1-gd-1102-silver-guddan-original-imagg42yfvyzgq2q.jpeg,46
4,petticoats/utsavfashion/solid-color-lycra-cotton-shapewear-petticoat-in-dark-green-v1-uub1091.jpg,50
5,petticoats/utsavfashion/plain-combo-of-cotton-petticoats-in-blue-and-pink-v1-uux529.jpg,81
6,petticoats/flipkart/free-pure-cotton-petticoat-for-women-maroon-purple-nebadita-original-imag3y53jyvhppgf.jpeg,95
7,petticoats/utsavfashion/uub89.jpg,106
8,petticoats/flipkart/medium-2-gugaliya-s-bottle-green-baby-pink-gugaliya-original-imagftyxcywnt2h6.jpeg,109
9,petticoats/flipkart/m-bw-pc-3012-mustard-yellow-b-badger-winsome-original-imag3swkghj8p7hn.jpeg,127
10,petticoats/flipkart/medium-2-gugaliya-best-quality-rama-firozi-gugaliya-original-imagfufyhewphpx6.jpeg,128
11,petticoats/flipkart/l-sc-pc-rope-3015-pink-c-scube-designs-original-imag9yyhfwebzbt5.jpeg,164
12,petticoats/utsavfashion/uub99.jpg,178
13,petticoats/flipkart/xxl-1-women-s-comfy-saree-shapewear-maroon-xxl-scube-designs-original-imaggbzdqmszacwt.jpeg,180
14,petticoats/flipkart/xxl-sc-pc-3006-blue-scube-designs-original-imag2bamyeytezkc.jpeg,186
15,petticoats/flipkart/l-side-rope-betouch-original-imagzbzkrge7snjy.jpeg,189
16,petticoats/flipkart/s-sc-pc-rope-3301-black-scube-designs-original-imag4zd5qdhzrmyg.jpeg,191
17,petticoats/flipkart/free-white-petticoat-all-size-jay-tanish-cloth-store-original-imafvgwzz647wyza.jpeg,227
18,petticoats/flipkart/m-san-flare-fish-cream-m-saree-shapewear-shapewear-petticoat-for-original-imagrczgjrdjb84z.jpeg,228
19,petticoats/flipkart/free-1-ryeonoct21-42-aarvi-styles-original-imag6kzc5vghtxry.jpeg,229
20,petticoats/flipkart/660-180-levender-skin-and-off-white-pistaa-xl-original-imaehtykdhvxh4mm.jpeg,235
21,petticoats/flipkart/m-101-black-ykingenterprise-original-imagswfvzgyywywe.jpeg,236
22,petticoats/flipkart/medium-2-gugaliya-best-quality-jamuni-firozi-gugaliya-original-imagfu2hrgtzyncz.jpeg,248
23,petticoats/flipkart/free-2-redbeigefree-preeticreation-original-imaghn4fh4vwksjf.jpeg,249
24,petticoats/utsavfashion/solid-color-lycra-cotton-shapewear-petticoat-in-magenta-v1-uub1102.jpg,276
25,petticoats/flipkart/free-1-pure-cotton-petticoat-for-women-dark-green-nebadita-original-imag9wujzcyab35p.jpeg,304
26,petticoats/flipkart/free-1-women-s-comfy-saree-shapewear-blue-free-scube-designs-original-imaggbzdagqbymfc.jpeg,305
27,petticoats/flipkart/free-pack-of-6-combo-petticoat-arshi-sales-original-imafwzhb4vx6gnkn.jpeg,312
