,files,random_number
0,sherwanis/karmaplace/VSHRMIW026CRnCDCRnMD002CR-3_512x769.jpg,3
1,sherwanis/flipkart/m-instar-141-maroon-pldp-tassar-sg-leman-original-imaggf8c6tetfnkg.jpeg,4
2,sherwanis/flipkart/xxl-aroras-the-complete-fashion-black-jacquard-3pcs-indo-western-original-imagt64zy8hqubxy.jpeg,7
3,sherwanis/karmaplace/VASMIW001NBnKRG001nPRG-2_512x769.jpg,11
4,sherwanis/flipkart/m-crkurta1-peb-avaeta-original-imagg24ahseyfqrv.jpeg,16
5,sherwanis/flipkart/l-vasmsw029blnptycr-vastramay-original-imagr7zh6rrhebtv.jpeg,18
6,sherwanis/flipkart/xxl-was-rehman-creations-original-imafpr8umjmjm2fc.jpeg,32
7,sherwanis/utsavfashion/embroidered-art-silk-sherwani-in-beige-v1-mtx1760.jpg,41
8,sherwanis/flipkart/s-rich009-riyaz-gangji-libas-original-imagah96ac8pqzcf-bb.jpeg,44
9,sherwanis/karmaplace/VASMPCD001GN_512x769.jpg,49
10,sherwanis/flipkart/l-ingolden145-cream-chdp-maroon-st-1-sg-leman-original-imagggc6sp2e4mpe.jpeg,51
11,sherwanis/flipkart/l-mens-sherwani-set-n-b-f-fashion-original-imag3m5hwbqz5kkn-bb.jpeg,59
12,sherwanis/flipkart/m-nw-machine-sherwani-36-srn-fashion-original-imagzbdgthneftph.jpeg,61
13,sherwanis/karmaplace/VSHRMIW021NBnPANT002BL-5_512x769.jpg,62
14,sherwanis/flipkart/m-white-38-shubhvivah-original-imagtag2jzesggfj.jpeg,72
15,sherwanis/flipkart/s-mens-indo-western-n-b-f-fashion-original-imagqhahh2fqwbpe.jpeg,73
16,sherwanis/flipkart/xl-mmsher1-mr-avaeta-original-imag9jcbzbxpvfxg-bb.jpeg,74
17,sherwanis/karmaplace/VSHRMIW026CR-1_512x769.jpg,84
18,sherwanis/karmaplace/VASMSW123_512x769.jpg,87
