,files,random_number
0,women_kurta/flipkart/6xl-479-sanwariya-creation-original-imagj4zd7nyktz8g.jpeg,2
1,women_kurta/flipkart/xxl-ck-11-15-ketaki-fashion-original-imag4xssh5psnaxr.jpeg,4
2,women_kurta/flipkart/xxl-47vs1058kr-vasant-apparel-original-imafyzd55mccr33b.jpeg,26
3,women_kurta/flipkart/s-sa19kr628r-surhi-original-imag785nreyh8pdb-bb.jpeg,33
4,women_kurta/utsavfashion/embroidered-cotton-short-kurta-in-wine-v1-mve3364.jpg,34
5,women_kurta/flipkart/l-anarkali-printed-cotton-maternity-gown-kt0027-kashvi-creation-original-imagkmbzzyvmcupw.jpeg,44
6,women_kurta/flipkart/l-raaka-black-grey-kurta-218-raaka-original-imagc3pb2ezgshqy.jpeg,47
7,women_kurta/flipkart/l-kk081-kipek-original-imafveuytwpczgqu.jpeg,48
8,women_kurta/utsavfashion/solid-color-cotton-kurta-in-navy-blue-v1-muy1297.jpg,54
9,women_kurta/flipkart/xl-com-01-lamba-creations-original-imagd8pf5zgc5hxg.jpeg,55
10,women_kurta/utsavfashion/chikankari-cotton-silk-dhoti-kurta-in-grey-v1-mux1189.jpg,58
11,women_kurta/flipkart/m-001-anarkali-sona-fashions-original-imagyck3g9sps4wy.jpeg,72
12,women_kurta/utsavfashion/digital-printed-cotton-kurta-in-beige-v1-mfn81.jpg,87
13,women_kurta/flipkart/xxl-new-heartloom-original-imagaffhnpaaeg8c-bb.jpeg,99
14,women_kurta/flipkart/xl-poppyteal-stylum-original-imagf25syswhecrv.jpeg,125
15,women_kurta/flipkart/m-23518o-libas-original-imagezz8g6uqxutw.jpeg,126
16,women_kurta/flipkart/xl-gw104-glowworld-original-imagpnhmsjhmu5mw.jpeg,131
17,women_kurta/flipkart/xl-zallar-kurti-valimai-fashion-original-imaghudc7knz8gtb.jpeg,145
18,women_kurta/flipkart/l-w-printex-heer-red-tap-in-original-imafzaenjkrpd4dr.jpeg,148
19,women_kurta/flipkart/m-kp-0102-k-21-kannahi-original-imagysmrb9ep64kp.jpeg,154
20,women_kurta/flipkart/xxl-vr-matr-green-jhal-sonava-club-original-imagmu6nyr6y6c4s.jpeg,166
21,women_kurta/flipkart/l-rlp-neckstand-rimeline-original-imaghfgznsehqst8.jpeg,172
22,women_kurta/flipkart/xxl-sc-481-srishti-creations-original-imagztf7yyhdva9b.jpeg,173
23,women_kurta/flipkart/s-22mmm4650-indo-era-original-imagdd6xqunbnv9r.jpeg,180
24,women_kurta/flipkart/s-kr-05-wine-kriska-original-imafxcnwnnsjpyup.jpeg,182
25,women_kurta/flipkart/xxl-sr-304-ksharaa-original-imag9kmjnmdhks9x-bb.jpeg,185
26,women_kurta/flipkart/xl-dv322-daevish-original-imag7ry5s4mkyh2g.jpeg,189
