state,resorts_per_state,state_total_skiable_area_ac,state_total_days_open,state_nightskiing_ac,state_total_chairs,state_total_terrain_parks,state_population,state_area_sq_miles
Alaska,3,2280.0,345.0,580.0,14,4.0,731545,665384
Arizona,2,1577.0,237.0,80.0,15,6.0,7278717,113990
California,21,25948.0,2738.0,587.0,243,81.0,39512223,163695
Colorado,22,43682.0,3258.0,428.0,327,74.0,5758736,104094
Connecticut,5,358.0,353.0,256.0,30,10.0,3565278,5543
Idaho,12,16396.0,1136.0,415.0,79,27.0,1787065,83569
Illinois,4,191.0,221.0,191.0,29,6.0,12671821,57914
Indiana,2,165.0,157.0,165.0,19,4.0,6732219,36420
Iowa,3,140.0,100.0,140.0,12,5.0,3155070,56273
Maine,9,3216.0,865.0,388.0,53,17.0,1344212,35380
Maryland,1,172.0,121.0,118.0,12,3.0,6045680,12406
Massachusetts,11,1166.0,671.0,583.0,77,18.0,6892503,10554
Michigan,28,4406.0,2389.0,1946.0,218,63.0,9986857,96714
Minnesota,14,1560.0,1490.0,1020.0,112,29.0,5639632,86936
Missouri,2,60.0,69.0,47.0,12,2.0,6137428,69707
Montana,12,21410.0,951.0,710.0,107,27.0,1068778,147040
Nevada,4,2110.0,415.0,0.0,20,9.0,3080156,110572
New Hampshire,16,3427.0,1847.0,376.0,120,43.0,1359711,9349
New Jersey,2,190.0,170.0,181.0,15,4.0,8882190,8723
New Mexico,9,5223.0,966.0,50.0,63,18.0,2096829,121590
New York,33,5514.0,2384.0,2836.0,223,72.0,19453561,54555
North Carolina,6,370.0,506.0,335.0,33,9.0,10488084,53819
Ohio,5,421.0,489.0,421.0,50,12.0,11689100,44826
Oregon,10,11774.0,1180.0,1127.0,65,22.0,4217737,98379
Pennsylvania,19,1888.0,1404.0,1528.0,150,47.0,12801989,46054
Rhode Island,1,30.0,100.0,30.0,4,1.0,1059361,1545
South Dakota,2,950.0,183.0,0.0,9,3.0,884659,77116
Tennessee,1,0.0,83.0,0.0,4,1.0,6829174,42144
Utah,13,30508.0,1544.0,642.0,145,26.0,3205958,84897
Vermont,15,7239.0,1777.0,50.0,160,50.0,623989,9616
Virginia,4,269.0,366.0,135.0,21,4.0,8535519,42775
Washington,10,15330.0,1022.0,1997.0,93,21.0,7614893,71298
West Virginia,4,542.0,342.0,187.0,31,9.0,1792147,24230
Wisconsin,15,1750.0,1519.0,1065.0,111,40.0,5822434,65496
Wyoming,8,6523.0,716.0,110.0,38,14.0,578759,97813
